success,rt,trial_type,trial_index,plugin_version,time_elapsed,Participant ID,stimulus,response,bounce_time,response_time
True,null,null,5,N/A,N/A,control_P11,N/A,N/A,"[""0.851"",""1.816"",""2.760"",""3.700"",""4.660"",""5.594"",""6.522"",""7.483"",""8.414"",""9.380"",""10.382"",""11.346"",""12.359"",""13.348"",""14.365"",""15.334"",""16.360"",""17.322"",""18.318"",""19.258"",""20.249"",""21.197"",""22.165"",""23.190"",""24.255"",""25.225"",""26.194"",""27.161"",""28.167"",""29.162"",""30.130"",""31.095"",""32.049""]","[0.820,1.826,2.720,3.709,4.599,5.575,6.502,7.447,8.433,9.394,10.334,11.330,12.333,13.278,14.360,15.228,16.350,17.295,18.376,19.251,20.214,21.165,22.172,23.218,24.230,25.202,26.144,27.123,28.166,29.158,30.114,31.176,32.065]"
True,null,null,7,N/A,N/A,control_P11,N/A,N/A,"[""0.875"",""1.825"",""2.757"",""3.715"",""4.654"",""5.604"",""6.538"",""7.479"",""8.410"",""9.353"",""10.330"",""11.306"",""12.273"",""13.311"",""14.277"",""15.258"",""16.240"",""17.253"",""18.239"",""19.231"",""20.202"",""21.233"",""22.220"",""23.163"",""24.151"",""25.132"",""26.122"",""27.104"",""28.075"",""29.037"",""30.004"",""30.997"",""31.995"",""32.967""]","[0.838,1.832,2.766,3.734,4.614,5.545,6.523,7.444,8.421,9.330,10.295,11.287,12.284,13.284,14.247,15.255,16.180,17.252,18.236,19.221,20.192,21.182,22.176,23.143,24.086,25.114,26.108,27.058,28.028,29.056,30.029,30.962,31.996,32.940]"
True,null,null,9,N/A,N/A,control_P11,N/A,N/A,"[""0.857"",""1.816"",""2.764"",""3.719"",""4.660"",""5.591"",""6.532"",""7.459"",""8.402"",""9.365"",""10.373"",""11.343"",""12.346"",""13.323"",""14.319"",""15.282"",""16.243"",""17.211"",""18.181"",""19.177"",""20.210"",""21.203"",""22.159"",""23.148"",""24.102"",""25.053"",""26.006"",""26.972"",""27.939"",""28.933"",""29.917"",""30.878"",""31.861"",""32.822""]","[0.801,1.786,2.808,3.616,4.664,5.606,6.497,7.411,8.370,9.358,10.344,11.295,12.335,13.312,14.310,15.280,16.176,17.198,18.166,19.129,20.233,21.249,22.153,23.141,24.044,25.003,25.956,26.934,27.920,28.916,29.908,30.807,31.878,32.836]"
True,null,null,11,N/A,N/A,control_P11,N/A,N/A,"[""0.863"",""1.813"",""2.753"",""3.694"",""4.625"",""5.580"",""6.515"",""7.463"",""8.430"",""9.415"",""10.397"",""11.358"",""12.321"",""13.279"",""14.244"",""15.271"",""16.218"",""17.196"",""18.170"",""19.150"",""20.131"",""21.118"",""22.128"",""23.100"",""24.068"",""25.039"",""26.030"",""27.036"",""28.023"",""29.003"",""29.949"",""30.933"",""31.923"",""32.901""]","[0.875,1.748,2.745,3.664,4.589,5.615,6.499,7.466,8.433,9.376,10.368,11.340,12.273,13.291,14.182,15.293,16.202,17.179,18.117,19.154,20.088,21.089,22.098,23.114,24.118,25.003,26.012,27.033,28.000,28.981,29.922,30.943,31.853,32.863]"
True,null,null,13,N/A,N/A,control_P11,N/A,N/A,"[""0.864"",""1.811"",""2.741"",""3.696"",""4.638"",""5.575"",""6.527"",""7.468"",""8.412"",""9.357"",""10.304"",""11.262"",""12.223"",""13.192"",""14.249"",""15.296"",""16.292"",""17.294"",""18.247"",""19.224"",""20.184"",""21.188"",""22.150"",""23.129"",""24.111"",""25.077"",""26.071"",""27.046"",""28.011"",""29.022"",""29.994"",""31.008"",""31.991"",""32.944""]","[0.852,1.809,2.771,3.638,4.589,5.555,6.502,7.480,8.410,9.360,10.275,11.174,12.208,13.185,14.204,15.214,16.280,17.272,18.223,19.196,20.149,21.148,22.074,23.160,24.093,25.079,26.045,27.010,28.004,29.022,29.924,31.011,31.964,32.900]"
True,null,null,15,N/A,N/A,control_P11,N/A,N/A,"[""0.878"",""1.834"",""2.788"",""3.725"",""4.671"",""5.603"",""6.561"",""7.513"",""8.446"",""9.391"",""10.377"",""11.362"",""12.334"",""13.335"",""14.295"",""15.266"",""16.253"",""17.228"",""18.203"",""19.167"",""20.167"",""21.139"",""22.122"",""23.099"",""24.075"",""25.054"",""26.058"",""27.055"",""28.050"",""29.026"",""29.993"",""30.990"",""31.982"",""32.960""]","[0.900,1.850,2.742,3.662,4.678,5.571,6.599,7.456,8.446,9.436,10.334,11.324,12.302,13.329,14.257,15.298,16.200,17.199,18.207,19.170,20.115,21.155,22.100,23.100,24.097,25.048,26.002,27.010,28.048,28.996,30.017,30.978,32.002,32.932]"
