success,rt,trial_type,trial_index,plugin_version,time_elapsed,Participant ID,stimulus,response,bounce_time,response_time
True,null,null,5,N/A,N/A,control_P16,N/A,N/A,"[""0.851"",""1.816"",""2.760"",""3.700"",""4.660"",""5.594"",""6.522"",""7.483"",""8.414"",""9.380"",""10.382"",""11.346"",""12.359"",""13.348"",""14.365"",""15.334"",""16.360"",""17.322"",""18.318"",""19.258"",""20.249"",""21.197"",""22.165"",""23.190"",""24.255"",""25.225"",""26.194"",""27.161"",""28.167"",""29.162"",""30.130"",""31.095"",""32.049""]","[0.822,1.780,2.758,3.706,4.627,5.517,6.511,7.439,8.409,9.379,10.377,11.352,12.286,13.326,14.336,15.331,16.328,17.332,18.302,19.178,20.241,21.152,22.119,23.157,24.236,25.190,26.151,27.128,28.125,29.098,30.066,31.097,31.999]"
True,null,null,7,N/A,N/A,control_P16,N/A,N/A,"[""0.875"",""1.825"",""2.757"",""3.715"",""4.654"",""5.604"",""6.538"",""7.479"",""8.410"",""9.353"",""10.330"",""11.306"",""12.273"",""13.311"",""14.277"",""15.258"",""16.240"",""17.253"",""18.239"",""19.231"",""20.202"",""21.233"",""22.220"",""23.163"",""24.151"",""25.132"",""26.122"",""27.104"",""28.075"",""29.037"",""30.004"",""30.997"",""31.995"",""32.967""]","[0.884,1.799,2.741,3.707,4.633,5.607,6.530,7.472,8.394,9.256,10.320,11.303,12.260,13.270,14.283,15.245,16.154,17.178,18.205,19.216,20.182,21.279,22.255,23.163,24.064,25.094,26.055,27.114,28.074,29.025,29.985,30.960,31.950,32.963]"
True,null,null,9,N/A,N/A,control_P16,N/A,N/A,"[""0.857"",""1.816"",""2.764"",""3.719"",""4.660"",""5.591"",""6.532"",""7.459"",""8.402"",""9.365"",""10.373"",""11.343"",""12.346"",""13.323"",""14.319"",""15.282"",""16.243"",""17.211"",""18.181"",""19.177"",""20.210"",""21.203"",""22.159"",""23.148"",""24.102"",""25.053"",""26.006"",""26.972"",""27.939"",""28.933"",""29.917"",""30.878"",""31.861"",""32.822""]","[0.836,1.783,2.706,3.716,4.584,5.561,6.538,7.488,8.367,9.377,10.341,11.311,12.395,13.294,14.306,15.293,16.226,17.151,18.126,19.168,20.165,21.189,22.123,23.153,24.080,25.025,25.998,26.944,27.927,28.952,29.909,30.844,31.838,32.841]"
True,null,null,11,N/A,N/A,control_P16,N/A,N/A,"[""0.863"",""1.813"",""2.753"",""3.694"",""4.625"",""5.580"",""6.515"",""7.463"",""8.430"",""9.415"",""10.397"",""11.358"",""12.321"",""13.279"",""14.244"",""15.271"",""16.218"",""17.196"",""18.170"",""19.150"",""20.131"",""21.118"",""22.128"",""23.100"",""24.068"",""25.039"",""26.030"",""27.036"",""28.023"",""29.003"",""29.949"",""30.933"",""31.923"",""32.901""]","[0.821,1.788,2.751,3.654,4.631,5.505,6.496,7.472,8.401,9.432,10.401,11.376,12.320,13.239,14.239,15.230,16.184,17.152,18.140,19.123,20.091,21.054,22.104,23.106,24.116,25.013,25.999,27.010,28.004,28.963,29.913,30.913,31.872,32.935]"
True,null,null,13,N/A,N/A,control_P16,N/A,N/A,"[""0.864"",""1.811"",""2.741"",""3.696"",""4.638"",""5.575"",""6.527"",""7.468"",""8.412"",""9.357"",""10.304"",""11.262"",""12.223"",""13.192"",""14.249"",""15.296"",""16.292"",""17.294"",""18.247"",""19.224"",""20.184"",""21.188"",""22.150"",""23.129"",""24.111"",""25.077"",""26.071"",""27.046"",""28.011"",""29.022"",""29.994"",""31.008"",""31.991"",""32.944""]","[0.872,1.764,2.707,3.693,4.632,5.578,6.453,7.481,8.392,9.317,10.248,11.221,12.250,13.165,14.240,15.310,16.228,17.268,18.153,19.236,20.195,21.218,22.152,23.097,24.033,25.093,26.099,26.995,27.944,28.992,29.993,31.007,31.954,32.930]"
True,null,null,15,N/A,N/A,control_P16,N/A,N/A,"[""0.878"",""1.834"",""2.788"",""3.725"",""4.671"",""5.603"",""6.561"",""7.513"",""8.446"",""9.391"",""10.377"",""11.362"",""12.334"",""13.335"",""14.295"",""15.266"",""16.253"",""17.228"",""18.203"",""19.167"",""20.167"",""21.139"",""22.122"",""23.099"",""24.075"",""25.054"",""26.058"",""27.055"",""28.050"",""29.026"",""29.993"",""30.990"",""31.982"",""32.960""]","[0.894,1.792,2.795,3.682,4.677,5.581,6.594,7.499,8.425,9.411,10.318,11.290,12.353,13.291,14.263,15.240,16.253,17.179,18.224,19.146,20.161,21.123,22.105,23.052,24.067,25.028,26.039,27.040,28.033,29.009,29.995,30.975,31.974,32.967]"
