success,rt,trial_type,trial_index,plugin_version,time_elapsed,Participant ID,stimulus,response,bounce_time,response_time
True,null,null,5,N/A,N/A,control_P14,N/A,N/A,"[""0.851"",""1.816"",""2.760"",""3.700"",""4.660"",""5.594"",""6.522"",""7.483"",""8.414"",""9.380"",""10.382"",""11.346"",""12.359"",""13.348"",""14.365"",""15.334"",""16.360"",""17.322"",""18.318"",""19.258"",""20.249"",""21.197"",""22.165"",""23.190"",""24.255"",""25.225"",""26.194"",""27.161"",""28.167"",""29.162"",""30.130"",""31.095"",""32.049""]","[0.820,1.804,2.695,3.659,4.609,5.514,6.469,7.439,8.362,9.393,10.447,11.292,12.356,13.350,14.302,15.270,16.338,17.335,18.314,19.304,20.254,21.195,22.142,23.159,24.259,25.221,26.169,27.167,28.132,29.157,30.073,31.040,32.003]"
True,null,null,7,N/A,N/A,control_P14,N/A,N/A,"[""0.875"",""1.825"",""2.757"",""3.715"",""4.654"",""5.604"",""6.538"",""7.479"",""8.410"",""9.353"",""10.330"",""11.306"",""12.273"",""13.311"",""14.277"",""15.258"",""16.240"",""17.253"",""18.239"",""19.231"",""20.202"",""21.233"",""22.220"",""23.163"",""24.151"",""25.132"",""26.122"",""27.104"",""28.075"",""29.037"",""30.004"",""30.997"",""31.995"",""32.967""]","[0.876,1.719,2.759,3.680,4.673,5.585,6.564,7.496,8.357,9.351,10.250,11.301,12.285,13.301,14.278,15.217,16.243,17.229,18.221,19.240,20.189,21.238,22.165,23.113,24.145,25.083,26.088,27.132,28.069,29.015,29.934,30.973,31.948,32.966]"
True,null,null,9,N/A,N/A,control_P14,N/A,N/A,"[""0.857"",""1.816"",""2.764"",""3.719"",""4.660"",""5.591"",""6.532"",""7.459"",""8.402"",""9.365"",""10.373"",""11.343"",""12.346"",""13.323"",""14.319"",""15.282"",""16.243"",""17.211"",""18.181"",""19.177"",""20.210"",""21.203"",""22.159"",""23.148"",""24.102"",""25.053"",""26.006"",""26.972"",""27.939"",""28.933"",""29.917"",""30.878"",""31.861"",""32.822""]","[0.800,1.779,2.748,3.699,4.601,5.615,6.557,7.431,8.332,9.304,10.391,11.350,12.347,13.315,14.255,15.284,16.172,17.207,18.152,19.200,20.175,21.173,22.137,23.141,24.084,25.094,25.994,26.981,27.917,28.945,29.880,30.893,31.820,32.781]"
True,null,null,11,N/A,N/A,control_P14,N/A,N/A,"[""0.863"",""1.813"",""2.753"",""3.694"",""4.625"",""5.580"",""6.515"",""7.463"",""8.430"",""9.415"",""10.397"",""11.358"",""12.321"",""13.279"",""14.244"",""15.271"",""16.218"",""17.196"",""18.170"",""19.150"",""20.131"",""21.118"",""22.128"",""23.100"",""24.068"",""25.039"",""26.030"",""27.036"",""28.023"",""29.003"",""29.949"",""30.933"",""31.923"",""32.901""]","[0.817,1.827,2.727,3.650,4.632,5.541,6.499,7.443,8.395,9.409,10.335,11.321,12.301,13.212,14.174,15.239,16.215,17.239,18.198,19.089,20.107,21.072,22.127,23.093,24.086,25.053,26.011,27.035,28.011,28.972,29.919,30.922,31.918,32.900]"
True,null,null,13,N/A,N/A,control_P14,N/A,N/A,"[""0.864"",""1.811"",""2.741"",""3.696"",""4.638"",""5.575"",""6.527"",""7.468"",""8.412"",""9.357"",""10.304"",""11.262"",""12.223"",""13.192"",""14.249"",""15.296"",""16.292"",""17.294"",""18.247"",""19.224"",""20.184"",""21.188"",""22.150"",""23.129"",""24.111"",""25.077"",""26.071"",""27.046"",""28.011"",""29.022"",""29.994"",""31.008"",""31.991"",""32.944""]","[0.867,1.760,2.745,3.703,4.608,5.534,6.540,7.465,8.404,9.334,10.332,11.234,12.198,13.234,14.242,15.314,16.229,17.325,18.222,19.250,20.153,21.104,22.124,23.135,24.068,25.033,26.034,26.987,27.955,28.951,29.943,31.015,31.932,32.954]"
True,null,null,15,N/A,N/A,control_P14,N/A,N/A,"[""0.878"",""1.834"",""2.788"",""3.725"",""4.671"",""5.603"",""6.561"",""7.513"",""8.446"",""9.391"",""10.377"",""11.362"",""12.334"",""13.335"",""14.295"",""15.266"",""16.253"",""17.228"",""18.203"",""19.167"",""20.167"",""21.139"",""22.122"",""23.099"",""24.075"",""25.054"",""26.058"",""27.055"",""28.050"",""29.026"",""29.993"",""30.990"",""31.982"",""32.960""]","[0.848,1.787,2.733,3.697,4.648,5.629,6.590,7.489,8.452,9.292,10.376,11.285,12.302,13.297,14.271,15.270,16.239,17.194,18.165,19.150,20.150,21.092,22.154,23.041,24.021,25.057,26.021,27.087,27.977,29.008,29.962,30.939,31.961,32.905]"
