success,rt,trial_type,trial_index,plugin_version,time_elapsed,Participant ID,stimulus,response,bounce_time,response_time
True,null,null,5,N/A,N/A,athelete_P16,N/A,N/A,"[""0.851"",""1.816"",""2.760"",""3.700"",""4.660"",""5.594"",""6.522"",""7.483"",""8.414"",""9.380"",""10.382"",""11.346"",""12.359"",""13.348"",""14.365"",""15.334"",""16.360"",""17.322"",""18.318"",""19.258"",""20.249"",""21.197"",""22.165"",""23.190"",""24.255"",""25.225"",""26.194"",""27.161"",""28.167"",""29.162"",""30.130"",""31.095"",""32.049""]","[0.847,1.813,2.767,3.650,4.680,5.541,6.467,7.442,8.335,9.300,10.363,11.380,12.352,13.391,14.335,15.301,16.320,17.306,18.306,19.262,20.239,21.163,22.097,23.169,24.276,25.216,26.216,27.088,28.149,29.118,30.107,31.039,32.032]"
True,null,null,7,N/A,N/A,athelete_P16,N/A,N/A,"[""0.875"",""1.825"",""2.757"",""3.715"",""4.654"",""5.604"",""6.538"",""7.479"",""8.410"",""9.353"",""10.330"",""11.306"",""12.273"",""13.311"",""14.277"",""15.258"",""16.240"",""17.253"",""18.239"",""19.231"",""20.202"",""21.233"",""22.220"",""23.163"",""24.151"",""25.132"",""26.122"",""27.104"",""28.075"",""29.037"",""30.004"",""30.997"",""31.995"",""32.967""]","[0.797,1.835,2.702,3.683,4.632,5.611,6.566,7.466,8.418,9.361,10.292,11.258,12.252,13.278,14.287,15.273,16.235,17.224,18.267,19.262,20.198,21.238,22.234,23.199,24.185,25.121,26.085,27.057,28.052,29.030,29.953,30.989,31.959,32.946]"
True,null,null,9,N/A,N/A,athelete_P16,N/A,N/A,"[""0.857"",""1.816"",""2.764"",""3.719"",""4.660"",""5.591"",""6.532"",""7.459"",""8.402"",""9.365"",""10.373"",""11.343"",""12.346"",""13.323"",""14.319"",""15.282"",""16.243"",""17.211"",""18.181"",""19.177"",""20.210"",""21.203"",""22.159"",""23.148"",""24.102"",""25.053"",""26.006"",""26.972"",""27.939"",""28.933"",""29.917"",""30.878"",""31.861"",""32.822""]","[0.875,1.771,2.791,3.718,4.683,5.572,6.518,7.459,8.428,9.373,10.388,11.304,12.309,13.290,14.282,15.241,16.211,17.191,18.183,19.154,20.254,21.223,22.144,23.123,24.094,25.041,25.975,26.953,27.941,28.914,29.905,30.841,31.887,32.788]"
True,null,null,11,N/A,N/A,athelete_P16,N/A,N/A,"[""0.863"",""1.813"",""2.753"",""3.694"",""4.625"",""5.580"",""6.515"",""7.463"",""8.430"",""9.415"",""10.397"",""11.358"",""12.321"",""13.279"",""14.244"",""15.271"",""16.218"",""17.196"",""18.170"",""19.150"",""20.131"",""21.118"",""22.128"",""23.100"",""24.068"",""25.039"",""26.030"",""27.036"",""28.023"",""29.003"",""29.949"",""30.933"",""31.923"",""32.901""]","[0.862,1.845,2.720,3.665,4.632,5.545,6.489,7.466,8.372,9.356,10.348,11.332,12.296,13.226,14.223,15.192,16.222,17.145,18.138,19.149,20.101,21.130,22.081,23.045,24.063,25.038,25.999,27.035,28.006,28.987,29.874,30.885,31.866,32.883]"
True,null,null,13,N/A,N/A,athelete_P16,N/A,N/A,"[""0.864"",""1.811"",""2.741"",""3.696"",""4.638"",""5.575"",""6.527"",""7.468"",""8.412"",""9.357"",""10.304"",""11.262"",""12.223"",""13.192"",""14.249"",""15.296"",""16.292"",""17.294"",""18.247"",""19.224"",""20.184"",""21.188"",""22.150"",""23.129"",""24.111"",""25.077"",""26.071"",""27.046"",""28.011"",""29.022"",""29.994"",""31.008"",""31.991"",""32.944""]","[0.871,1.782,2.701,3.791,4.626,5.504,6.504,7.450,8.380,9.309,10.312,11.293,12.195,13.199,14.205,15.295,16.214,17.267,18.254,19.236,20.109,21.200,22.097,23.121,24.095,25.053,26.078,27.043,28.017,29.035,29.892,31.003,32.009,32.907]"
True,null,null,15,N/A,N/A,athelete_P16,N/A,N/A,"[""0.878"",""1.834"",""2.788"",""3.725"",""4.671"",""5.603"",""6.561"",""7.513"",""8.446"",""9.391"",""10.377"",""11.362"",""12.334"",""13.335"",""14.295"",""15.266"",""16.253"",""17.228"",""18.203"",""19.167"",""20.167"",""21.139"",""22.122"",""23.099"",""24.075"",""25.054"",""26.058"",""27.055"",""28.050"",""29.026"",""29.993"",""30.990"",""31.982"",""32.960""]","[0.832,1.719,2.753,3.713,4.596,5.628,6.543,7.481,8.395,9.385,10.330,11.360,12.261,13.353,14.280,15.210,16.237,17.172,18.124,19.149,20.079,21.138,22.087,23.079,24.102,24.989,26.034,27.057,28.038,28.970,29.952,30.980,31.994,32.873]"
