success,rt,trial_type,trial_index,plugin_version,time_elapsed,Participant ID,stimulus,response,bounce_time,response_time
True,null,null,5,N/A,N/A,control_P2,N/A,N/A,"[""0.851"",""1.816"",""2.760"",""3.700"",""4.660"",""5.594"",""6.522"",""7.483"",""8.414"",""9.380"",""10.382"",""11.346"",""12.359"",""13.348"",""14.365"",""15.334"",""16.360"",""17.322"",""18.318"",""19.258"",""20.249"",""21.197"",""22.165"",""23.190"",""24.255"",""25.225"",""26.194"",""27.161"",""28.167"",""29.162"",""30.130"",""31.095"",""32.049""]","[0.814,1.800,2.702,3.678,4.604,5.610,6.450,7.462,8.397,9.415,10.345,11.305,12.343,13.327,14.380,15.333,16.327,17.338,18.299,19.225,20.253,21.194,22.182,23.116,24.250,25.164,26.144,27.170,28.140,29.139,30.144,31.060,32.018]"
True,null,null,7,N/A,N/A,control_P2,N/A,N/A,"[""0.875"",""1.825"",""2.757"",""3.715"",""4.654"",""5.604"",""6.538"",""7.479"",""8.410"",""9.353"",""10.330"",""11.306"",""12.273"",""13.311"",""14.277"",""15.258"",""16.240"",""17.253"",""18.239"",""19.231"",""20.202"",""21.233"",""22.220"",""23.163"",""24.151"",""25.132"",""26.122"",""27.104"",""28.075"",""29.037"",""30.004"",""30.997"",""31.995"",""32.967""]","[0.837,1.794,2.668,3.618,4.653,5.594,6.554,7.495,8.379,9.347,10.277,11.340,12.275,13.316,14.231,15.291,16.177,17.265,18.221,19.186,20.203,21.260,22.152,23.146,24.181,25.159,26.110,27.082,28.055,28.985,29.996,31.034,32.045,32.968]"
True,null,null,9,N/A,N/A,control_P2,N/A,N/A,"[""0.857"",""1.816"",""2.764"",""3.719"",""4.660"",""5.591"",""6.532"",""7.459"",""8.402"",""9.365"",""10.373"",""11.343"",""12.346"",""13.323"",""14.319"",""15.282"",""16.243"",""17.211"",""18.181"",""19.177"",""20.210"",""21.203"",""22.159"",""23.148"",""24.102"",""25.053"",""26.006"",""26.972"",""27.939"",""28.933"",""29.917"",""30.878"",""31.861"",""32.822""]","[0.762,1.813,2.759,3.702,4.614,5.583,6.575,7.401,8.415,9.352,10.312,11.343,12.387,13.354,14.300,15.283,16.238,17.200,18.184,19.172,20.215,21.169,22.128,23.173,24.097,24.979,26.003,26.852,27.889,28.870,29.883,30.880,31.876,32.853]"
True,null,null,11,N/A,N/A,control_P2,N/A,N/A,"[""0.863"",""1.813"",""2.753"",""3.694"",""4.625"",""5.580"",""6.515"",""7.463"",""8.430"",""9.415"",""10.397"",""11.358"",""12.321"",""13.279"",""14.244"",""15.271"",""16.218"",""17.196"",""18.170"",""19.150"",""20.131"",""21.118"",""22.128"",""23.100"",""24.068"",""25.039"",""26.030"",""27.036"",""28.023"",""29.003"",""29.949"",""30.933"",""31.923"",""32.901""]","[0.839,1.840,2.729,3.681,4.621,5.585,6.491,7.471,8.368,9.378,10.357,11.386,12.229,13.259,14.241,15.260,16.234,17.130,18.108,19.133,20.106,21.089,22.074,23.053,24.066,25.042,25.955,27.035,27.981,28.992,30.006,30.910,31.902,32.897]"
True,null,null,13,N/A,N/A,control_P2,N/A,N/A,"[""0.864"",""1.811"",""2.741"",""3.696"",""4.638"",""5.575"",""6.527"",""7.468"",""8.412"",""9.357"",""10.304"",""11.262"",""12.223"",""13.192"",""14.249"",""15.296"",""16.292"",""17.294"",""18.247"",""19.224"",""20.184"",""21.188"",""22.150"",""23.129"",""24.111"",""25.077"",""26.071"",""27.046"",""28.011"",""29.022"",""29.994"",""31.008"",""31.991"",""32.944""]","[0.890,1.750,2.750,3.661,4.668,5.518,6.472,7.411,8.414,9.257,10.271,11.237,12.179,13.153,14.301,15.309,16.373,17.259,18.297,19.197,20.195,21.192,22.097,23.120,24.083,25.056,26.056,27.057,27.975,29.023,29.975,31.002,31.961,32.889]"
True,null,null,15,N/A,N/A,control_P2,N/A,N/A,"[""0.878"",""1.834"",""2.788"",""3.725"",""4.671"",""5.603"",""6.561"",""7.513"",""8.446"",""9.391"",""10.377"",""11.362"",""12.334"",""13.335"",""14.295"",""15.266"",""16.253"",""17.228"",""18.203"",""19.167"",""20.167"",""21.139"",""22.122"",""23.099"",""24.075"",""25.054"",""26.058"",""27.055"",""28.050"",""29.026"",""29.993"",""30.990"",""31.982"",""32.960""]","[0.873,1.826,2.808,3.733,4.667,5.586,6.565,7.514,8.377,9.375,10.345,11.326,12.303,13.357,14.279,15.265,16.236,17.225,18.206,19.124,20.155,21.120,22.102,23.058,24.085,25.046,26.021,27.037,27.995,29.025,29.962,30.986,31.949,32.942]"
