success,rt,trial_type,trial_index,plugin_version,time_elapsed,Participant ID,stimulus,response,bounce_time,response_time
True,null,null,5,N/A,N/A,athelete_P13,N/A,N/A,"[""0.851"",""1.816"",""2.760"",""3.700"",""4.660"",""5.594"",""6.522"",""7.483"",""8.414"",""9.380"",""10.382"",""11.346"",""12.359"",""13.348"",""14.365"",""15.334"",""16.360"",""17.322"",""18.318"",""19.258"",""20.249"",""21.197"",""22.165"",""23.190"",""24.255"",""25.225"",""26.194"",""27.161"",""28.167"",""29.162"",""30.130"",""31.095"",""32.049""]","[0.847,1.788,2.712,3.675,4.671,5.564,6.479,7.482,8.398,9.346,10.387,11.366,12.338,13.370,14.348,15.295,16.361,17.288,18.259,19.207,20.206,21.173,22.144,23.123,24.204,25.183,26.174,27.146,28.141,29.160,30.114,31.085,32.019]"
True,null,null,7,N/A,N/A,athelete_P13,N/A,N/A,"[""0.875"",""1.825"",""2.757"",""3.715"",""4.654"",""5.604"",""6.538"",""7.479"",""8.410"",""9.353"",""10.330"",""11.306"",""12.273"",""13.311"",""14.277"",""15.258"",""16.240"",""17.253"",""18.239"",""19.231"",""20.202"",""21.233"",""22.220"",""23.163"",""24.151"",""25.132"",""26.122"",""27.104"",""28.075"",""29.037"",""30.004"",""30.997"",""31.995"",""32.967""]","[0.876,1.812,2.733,3.651,4.582,5.580,6.548,7.437,8.395,9.379,10.305,11.300,12.209,13.328,14.270,15.208,16.235,17.223,18.272,19.168,20.113,21.225,22.210,23.189,24.159,25.062,26.135,27.077,28.049,29.024,29.994,30.911,31.997,32.925]"
True,null,null,9,N/A,N/A,athelete_P13,N/A,N/A,"[""0.857"",""1.816"",""2.764"",""3.719"",""4.660"",""5.591"",""6.532"",""7.459"",""8.402"",""9.365"",""10.373"",""11.343"",""12.346"",""13.323"",""14.319"",""15.282"",""16.243"",""17.211"",""18.181"",""19.177"",""20.210"",""21.203"",""22.159"",""23.148"",""24.102"",""25.053"",""26.006"",""26.972"",""27.939"",""28.933"",""29.917"",""30.878"",""31.861"",""32.822""]","[0.789,1.845,2.727,3.658,4.586,5.536,6.524,7.439,8.414,9.312,10.348,11.279,12.339,13.333,14.276,15.275,16.246,17.155,18.221,19.151,20.172,21.190,22.165,23.151,24.087,24.990,25.978,26.948,27.913,28.937,29.875,30.851,31.869,32.827]"
True,null,null,11,N/A,N/A,athelete_P13,N/A,N/A,"[""0.863"",""1.813"",""2.753"",""3.694"",""4.625"",""5.580"",""6.515"",""7.463"",""8.430"",""9.415"",""10.397"",""11.358"",""12.321"",""13.279"",""14.244"",""15.271"",""16.218"",""17.196"",""18.170"",""19.150"",""20.131"",""21.118"",""22.128"",""23.100"",""24.068"",""25.039"",""26.030"",""27.036"",""28.023"",""29.003"",""29.949"",""30.933"",""31.923"",""32.901""]","[0.806,1.787,2.741,3.668,4.619,5.551,6.527,7.452,8.385,9.421,10.406,11.344,12.284,13.242,14.223,15.284,16.201,17.144,18.098,19.159,20.106,21.092,22.115,23.068,24.041,25.003,26.074,27.050,27.986,28.968,29.890,30.901,31.878,32.870]"
True,null,null,13,N/A,N/A,athelete_P13,N/A,N/A,"[""0.864"",""1.811"",""2.741"",""3.696"",""4.638"",""5.575"",""6.527"",""7.468"",""8.412"",""9.357"",""10.304"",""11.262"",""12.223"",""13.192"",""14.249"",""15.296"",""16.292"",""17.294"",""18.247"",""19.224"",""20.184"",""21.188"",""22.150"",""23.129"",""24.111"",""25.077"",""26.071"",""27.046"",""28.011"",""29.022"",""29.994"",""31.008"",""31.991"",""32.944""]","[0.844,1.789,2.682,3.710,4.637,5.607,6.512,7.482,8.377,9.353,10.276,11.299,12.176,13.269,14.215,15.324,16.269,17.247,18.191,19.190,20.179,21.160,22.163,23.050,24.069,25.053,26.086,26.990,28.023,28.983,29.981,31.035,31.924,32.946]"
True,null,null,15,N/A,N/A,athelete_P13,N/A,N/A,"[""0.878"",""1.834"",""2.788"",""3.725"",""4.671"",""5.603"",""6.561"",""7.513"",""8.446"",""9.391"",""10.377"",""11.362"",""12.334"",""13.335"",""14.295"",""15.266"",""16.253"",""17.228"",""18.203"",""19.167"",""20.167"",""21.139"",""22.122"",""23.099"",""24.075"",""25.054"",""26.058"",""27.055"",""28.050"",""29.026"",""29.993"",""30.990"",""31.982"",""32.960""]","[0.888,1.844,2.785,3.715,4.632,5.545,6.574,7.375,8.425,9.441,10.415,11.329,12.285,13.340,14.278,15.248,16.275,17.226,18.176,19.185,20.152,21.085,22.095,23.063,24.041,25.026,26.031,27.026,28.043,29.032,29.910,30.942,31.981,32.898]"
