success,rt,trial_type,trial_index,plugin_version,time_elapsed,Participant ID,stimulus,response,bounce_time,response_time
True,null,null,5,N/A,N/A,control_P3,N/A,N/A,"[""0.851"",""1.816"",""2.760"",""3.700"",""4.660"",""5.594"",""6.522"",""7.483"",""8.414"",""9.380"",""10.382"",""11.346"",""12.359"",""13.348"",""14.365"",""15.334"",""16.360"",""17.322"",""18.318"",""19.258"",""20.249"",""21.197"",""22.165"",""23.190"",""24.255"",""25.225"",""26.194"",""27.161"",""28.167"",""29.162"",""30.130"",""31.095"",""32.049""]","[0.865,1.828,2.737,3.703,4.630,5.619,6.467,7.436,8.400,9.386,10.369,11.315,12.351,13.323,14.341,15.292,16.333,17.304,18.315,19.223,20.256,21.196,22.154,23.178,24.286,25.187,26.199,27.136,28.153,29.116,30.068,31.106,32.075]"
True,null,null,7,N/A,N/A,control_P3,N/A,N/A,"[""0.875"",""1.825"",""2.757"",""3.715"",""4.654"",""5.604"",""6.538"",""7.479"",""8.410"",""9.353"",""10.330"",""11.306"",""12.273"",""13.311"",""14.277"",""15.258"",""16.240"",""17.253"",""18.239"",""19.231"",""20.202"",""21.233"",""22.220"",""23.163"",""24.151"",""25.132"",""26.122"",""27.104"",""28.075"",""29.037"",""30.004"",""30.997"",""31.995"",""32.967""]","[0.849,1.829,2.739,3.742,4.620,5.554,6.525,7.447,8.432,9.312,10.343,11.289,12.241,13.229,14.247,15.173,16.240,17.233,18.211,19.234,20.135,21.251,22.159,23.171,24.147,25.133,26.097,27.124,28.130,29.008,30.004,30.995,31.923,32.920]"
True,null,null,9,N/A,N/A,control_P3,N/A,N/A,"[""0.857"",""1.816"",""2.764"",""3.719"",""4.660"",""5.591"",""6.532"",""7.459"",""8.402"",""9.365"",""10.373"",""11.343"",""12.346"",""13.323"",""14.319"",""15.282"",""16.243"",""17.211"",""18.181"",""19.177"",""20.210"",""21.203"",""22.159"",""23.148"",""24.102"",""25.053"",""26.006"",""26.972"",""27.939"",""28.933"",""29.917"",""30.878"",""31.861"",""32.822""]","[0.809,1.805,2.735,3.709,4.651,5.561,6.520,7.494,8.402,9.317,10.313,11.377,12.383,13.304,14.337,15.286,16.223,17.194,18.169,19.146,20.198,21.191,22.152,23.134,24.095,25.073,25.983,26.935,27.927,28.910,29.896,30.839,31.841,32.765]"
True,null,null,11,N/A,N/A,control_P3,N/A,N/A,"[""0.863"",""1.813"",""2.753"",""3.694"",""4.625"",""5.580"",""6.515"",""7.463"",""8.430"",""9.415"",""10.397"",""11.358"",""12.321"",""13.279"",""14.244"",""15.271"",""16.218"",""17.196"",""18.170"",""19.150"",""20.131"",""21.118"",""22.128"",""23.100"",""24.068"",""25.039"",""26.030"",""27.036"",""28.023"",""29.003"",""29.949"",""30.933"",""31.923"",""32.901""]","[0.913,1.759,2.718,3.689,4.606,5.520,6.452,7.460,8.450,9.370,10.391,11.411,12.304,13.253,14.233,15.279,16.235,17.092,18.107,19.131,20.085,21.111,22.145,23.088,24.000,25.001,26.007,27.047,27.961,29.008,29.940,30.907,31.875,32.930]"
True,null,null,13,N/A,N/A,control_P3,N/A,N/A,"[""0.864"",""1.811"",""2.741"",""3.696"",""4.638"",""5.575"",""6.527"",""7.468"",""8.412"",""9.357"",""10.304"",""11.262"",""12.223"",""13.192"",""14.249"",""15.296"",""16.292"",""17.294"",""18.247"",""19.224"",""20.184"",""21.188"",""22.150"",""23.129"",""24.111"",""25.077"",""26.071"",""27.046"",""28.011"",""29.022"",""29.994"",""31.008"",""31.991"",""32.944""]","[0.840,1.821,2.763,3.661,4.640,5.562,6.509,7.446,8.440,9.351,10.322,11.210,12.197,13.165,14.217,15.266,16.291,17.283,18.208,19.146,20.132,21.160,22.129,23.122,24.029,25.044,26.071,27.021,27.988,29.002,29.960,30.985,32.013,32.897]"
True,null,null,15,N/A,N/A,control_P3,N/A,N/A,"[""0.878"",""1.834"",""2.788"",""3.725"",""4.671"",""5.603"",""6.561"",""7.513"",""8.446"",""9.391"",""10.377"",""11.362"",""12.334"",""13.335"",""14.295"",""15.266"",""16.253"",""17.228"",""18.203"",""19.167"",""20.167"",""21.139"",""22.122"",""23.099"",""24.075"",""25.054"",""26.058"",""27.055"",""28.050"",""29.026"",""29.993"",""30.990"",""31.982"",""32.960""]","[0.889,1.793,2.751,3.659,4.683,5.631,6.560,7.499,8.458,9.401,10.335,11.374,12.306,13.330,14.253,15.218,16.201,17.257,18.189,19.163,20.227,21.120,22.040,23.043,24.086,25.019,26.064,27.032,28.024,29.011,29.960,30.926,31.961,33.008]"
