success,rt,trial_type,trial_index,plugin_version,time_elapsed,Participant ID,stimulus,response,bounce_time,response_time
True,null,null,5,N/A,N/A,athelete_P6,N/A,N/A,"[""0.851"",""1.816"",""2.760"",""3.700"",""4.660"",""5.594"",""6.522"",""7.483"",""8.414"",""9.380"",""10.382"",""11.346"",""12.359"",""13.348"",""14.365"",""15.334"",""16.360"",""17.322"",""18.318"",""19.258"",""20.249"",""21.197"",""22.165"",""23.190"",""24.255"",""25.225"",""26.194"",""27.161"",""28.167"",""29.162"",""30.130"",""31.095"",""32.049""]","[0.848,1.783,2.713,3.679,4.648,5.574,6.493,7.460,8.440,9.383,10.381,11.321,12.352,13.302,14.341,15.263,16.355,17.297,18.278,19.264,20.274,21.111,22.137,23.169,24.197,25.177,26.142,27.187,28.148,29.114,30.153,31.088,32.026]"
True,null,null,7,N/A,N/A,athelete_P6,N/A,N/A,"[""0.875"",""1.825"",""2.757"",""3.715"",""4.654"",""5.604"",""6.538"",""7.479"",""8.410"",""9.353"",""10.330"",""11.306"",""12.273"",""13.311"",""14.277"",""15.258"",""16.240"",""17.253"",""18.239"",""19.231"",""20.202"",""21.233"",""22.220"",""23.163"",""24.151"",""25.132"",""26.122"",""27.104"",""28.075"",""29.037"",""30.004"",""30.997"",""31.995"",""32.967""]","[0.807,1.792,2.743,3.675,4.626,5.578,6.539,7.476,8.409,9.230,10.296,11.297,12.251,13.309,14.281,15.195,16.219,17.264,18.261,19.201,20.214,21.190,22.234,23.142,24.110,25.128,26.119,27.109,28.066,29.031,29.998,30.937,31.950,32.957]"
True,null,null,9,N/A,N/A,athelete_P6,N/A,N/A,"[""0.857"",""1.816"",""2.764"",""3.719"",""4.660"",""5.591"",""6.532"",""7.459"",""8.402"",""9.365"",""10.373"",""11.343"",""12.346"",""13.323"",""14.319"",""15.282"",""16.243"",""17.211"",""18.181"",""19.177"",""20.210"",""21.203"",""22.159"",""23.148"",""24.102"",""25.053"",""26.006"",""26.972"",""27.939"",""28.933"",""29.917"",""30.878"",""31.861"",""32.822""]","[0.871,1.796,2.831,3.687,4.651,5.564,6.563,7.502,8.377,9.344,10.345,11.318,12.339,13.293,14.288,15.260,16.185,17.216,18.148,19.228,20.167,21.152,22.147,23.106,24.037,25.027,25.954,26.927,27.903,28.963,29.883,30.798,31.836,32.811]"
True,null,null,11,N/A,N/A,athelete_P6,N/A,N/A,"[""0.863"",""1.813"",""2.753"",""3.694"",""4.625"",""5.580"",""6.515"",""7.463"",""8.430"",""9.415"",""10.397"",""11.358"",""12.321"",""13.279"",""14.244"",""15.271"",""16.218"",""17.196"",""18.170"",""19.150"",""20.131"",""21.118"",""22.128"",""23.100"",""24.068"",""25.039"",""26.030"",""27.036"",""28.023"",""29.003"",""29.949"",""30.933"",""31.923"",""32.901""]","[0.877,1.740,2.702,3.668,4.574,5.535,6.546,7.459,8.409,9.364,10.343,11.332,12.299,13.283,14.185,15.255,16.212,17.155,18.166,19.189,20.100,21.136,22.124,23.074,24.012,25.005,26.025,27.015,28.012,28.935,29.927,30.897,31.930,32.882]"
True,null,null,13,N/A,N/A,athelete_P6,N/A,N/A,"[""0.864"",""1.811"",""2.741"",""3.696"",""4.638"",""5.575"",""6.527"",""7.468"",""8.412"",""9.357"",""10.304"",""11.262"",""12.223"",""13.192"",""14.249"",""15.296"",""16.292"",""17.294"",""18.247"",""19.224"",""20.184"",""21.188"",""22.150"",""23.129"",""24.111"",""25.077"",""26.071"",""27.046"",""28.011"",""29.022"",""29.994"",""31.008"",""31.991"",""32.944""]","[0.809,1.754,2.702,3.653,4.590,5.554,6.509,7.409,8.365,9.345,10.291,11.251,12.184,13.184,14.270,15.311,16.281,17.242,18.201,19.206,20.224,21.189,22.177,23.133,24.064,25.004,26.061,27.029,27.997,28.953,29.992,30.986,31.961,32.916]"
True,null,null,15,N/A,N/A,athelete_P6,N/A,N/A,"[""0.878"",""1.834"",""2.788"",""3.725"",""4.671"",""5.603"",""6.561"",""7.513"",""8.446"",""9.391"",""10.377"",""11.362"",""12.334"",""13.335"",""14.295"",""15.266"",""16.253"",""17.228"",""18.203"",""19.167"",""20.167"",""21.139"",""22.122"",""23.099"",""24.075"",""25.054"",""26.058"",""27.055"",""28.050"",""29.026"",""29.993"",""30.990"",""31.982"",""32.960""]","[0.833,1.844,2.775,3.689,4.656,5.583,6.532,7.466,8.458,9.343,10.339,11.384,12.275,13.289,14.264,15.237,16.227,17.203,18.240,19.092,20.183,21.114,22.101,23.109,24.035,25.030,25.995,27.025,28.041,29.008,29.976,30.954,31.954,32.944]"
