success,rt,trial_type,trial_index,plugin_version,time_elapsed,Participant ID,stimulus,response,bounce_time,response_time
True,null,null,5,N/A,N/A,control_P10,N/A,N/A,"[""0.851"",""1.816"",""2.760"",""3.700"",""4.660"",""5.594"",""6.522"",""7.483"",""8.414"",""9.380"",""10.382"",""11.346"",""12.359"",""13.348"",""14.365"",""15.334"",""16.360"",""17.322"",""18.318"",""19.258"",""20.249"",""21.197"",""22.165"",""23.190"",""24.255"",""25.225"",""26.194"",""27.161"",""28.167"",""29.162"",""30.130"",""31.095"",""32.049""]","[0.848,1.794,2.732,3.659,4.658,5.610,6.444,7.464,8.377,9.373,10.377,11.278,12.355,13.298,14.334,15.246,16.272,17.333,18.268,19.206,20.230,21.207,22.133,23.146,24.226,25.192,26.188,27.144,28.189,29.086,30.111,31.035,31.979]"
True,null,null,7,N/A,N/A,control_P10,N/A,N/A,"[""0.875"",""1.825"",""2.757"",""3.715"",""4.654"",""5.604"",""6.538"",""7.479"",""8.410"",""9.353"",""10.330"",""11.306"",""12.273"",""13.311"",""14.277"",""15.258"",""16.240"",""17.253"",""18.239"",""19.231"",""20.202"",""21.233"",""22.220"",""23.163"",""24.151"",""25.132"",""26.122"",""27.104"",""28.075"",""29.037"",""30.004"",""30.997"",""31.995"",""32.967""]","[0.856,1.807,2.743,3.696,4.602,5.601,6.574,7.430,8.398,9.288,10.249,11.272,12.220,13.253,14.240,15.199,16.281,17.191,18.249,19.220,20.140,21.149,22.150,23.104,24.119,25.097,26.057,27.038,28.011,29.003,29.972,30.977,32.006,32.952]"
True,null,null,9,N/A,N/A,control_P10,N/A,N/A,"[""0.857"",""1.816"",""2.764"",""3.719"",""4.660"",""5.591"",""6.532"",""7.459"",""8.402"",""9.365"",""10.373"",""11.343"",""12.346"",""13.323"",""14.319"",""15.282"",""16.243"",""17.211"",""18.181"",""19.177"",""20.210"",""21.203"",""22.159"",""23.148"",""24.102"",""25.053"",""26.006"",""26.972"",""27.939"",""28.933"",""29.917"",""30.878"",""31.861"",""32.822""]","[0.874,1.764,2.745,3.704,4.637,5.539,6.485,7.456,8.388,9.376,10.342,11.405,12.314,13.355,14.329,15.247,16.259,17.164,18.090,19.118,20.203,21.177,22.100,23.087,24.045,25.023,25.969,26.970,27.907,28.948,29.864,30.849,31.817,32.840]"
True,null,null,11,N/A,N/A,control_P10,N/A,N/A,"[""0.863"",""1.813"",""2.753"",""3.694"",""4.625"",""5.580"",""6.515"",""7.463"",""8.430"",""9.415"",""10.397"",""11.358"",""12.321"",""13.279"",""14.244"",""15.271"",""16.218"",""17.196"",""18.170"",""19.150"",""20.131"",""21.118"",""22.128"",""23.100"",""24.068"",""25.039"",""26.030"",""27.036"",""28.023"",""29.003"",""29.949"",""30.933"",""31.923"",""32.901""]","[0.790,1.742,2.750,3.638,4.605,5.559,6.492,7.452,8.392,9.419,10.373,11.301,12.281,13.216,14.241,15.270,16.204,17.163,18.184,19.103,20.201,21.144,22.068,23.058,24.033,24.956,26.025,27.025,27.981,28.971,29.870,30.889,31.902,32.848]"
True,null,null,13,N/A,N/A,control_P10,N/A,N/A,"[""0.864"",""1.811"",""2.741"",""3.696"",""4.638"",""5.575"",""6.527"",""7.468"",""8.412"",""9.357"",""10.304"",""11.262"",""12.223"",""13.192"",""14.249"",""15.296"",""16.292"",""17.294"",""18.247"",""19.224"",""20.184"",""21.188"",""22.150"",""23.129"",""24.111"",""25.077"",""26.071"",""27.046"",""28.011"",""29.022"",""29.994"",""31.008"",""31.991"",""32.944""]","[0.856,1.794,2.722,3.705,4.623,5.504,6.508,7.452,8.409,9.281,10.269,11.281,12.221,13.164,14.189,15.247,16.236,17.302,18.287,19.196,20.159,21.208,22.110,23.112,24.084,25.030,26.027,26.939,27.982,29.004,29.963,30.973,32.024,32.911]"
True,null,null,15,N/A,N/A,control_P10,N/A,N/A,"[""0.878"",""1.834"",""2.788"",""3.725"",""4.671"",""5.603"",""6.561"",""7.513"",""8.446"",""9.391"",""10.377"",""11.362"",""12.334"",""13.335"",""14.295"",""15.266"",""16.253"",""17.228"",""18.203"",""19.167"",""20.167"",""21.139"",""22.122"",""23.099"",""24.075"",""25.054"",""26.058"",""27.055"",""28.050"",""29.026"",""29.993"",""30.990"",""31.982"",""32.960""]","[0.814,1.878,2.749,3.763,4.640,5.583,6.593,7.542,8.374,9.310,10.355,11.432,12.348,13.266,14.306,15.223,16.269,17.186,18.140,19.157,20.052,21.182,22.104,23.087,24.073,25.069,25.990,27.041,28.040,29.061,30.014,30.954,31.952,33.014]"
