success,rt,trial_type,trial_index,plugin_version,time_elapsed,Participant ID,stimulus,response,bounce_time,response_time
True,null,null,5,N/A,N/A,control_P9,N/A,N/A,"[""0.851"",""1.816"",""2.760"",""3.700"",""4.660"",""5.594"",""6.522"",""7.483"",""8.414"",""9.380"",""10.382"",""11.346"",""12.359"",""13.348"",""14.365"",""15.334"",""16.360"",""17.322"",""18.318"",""19.258"",""20.249"",""21.197"",""22.165"",""23.190"",""24.255"",""25.225"",""26.194"",""27.161"",""28.167"",""29.162"",""30.130"",""31.095"",""32.049""]","[0.813,1.771,2.746,3.744,4.681,5.602,6.479,7.447,8.375,9.342,10.373,11.289,12.300,13.274,14.322,15.341,16.297,17.294,18.325,19.221,20.213,21.194,22.131,23.115,24.217,25.197,26.161,27.155,28.144,29.124,30.084,31.025,32.044]"
True,null,null,7,N/A,N/A,control_P9,N/A,N/A,"[""0.875"",""1.825"",""2.757"",""3.715"",""4.654"",""5.604"",""6.538"",""7.479"",""8.410"",""9.353"",""10.330"",""11.306"",""12.273"",""13.311"",""14.277"",""15.258"",""16.240"",""17.253"",""18.239"",""19.231"",""20.202"",""21.233"",""22.220"",""23.163"",""24.151"",""25.132"",""26.122"",""27.104"",""28.075"",""29.037"",""30.004"",""30.997"",""31.995"",""32.967""]","[0.859,1.840,2.743,3.718,4.611,5.620,6.513,7.468,8.378,9.354,10.265,11.312,12.279,13.234,14.258,15.242,16.238,17.207,18.202,19.214,20.198,21.209,22.190,23.154,24.158,25.176,26.099,27.088,27.969,28.982,29.989,31.006,31.942,32.977]"
True,null,null,9,N/A,N/A,control_P9,N/A,N/A,"[""0.857"",""1.816"",""2.764"",""3.719"",""4.660"",""5.591"",""6.532"",""7.459"",""8.402"",""9.365"",""10.373"",""11.343"",""12.346"",""13.323"",""14.319"",""15.282"",""16.243"",""17.211"",""18.181"",""19.177"",""20.210"",""21.203"",""22.159"",""23.148"",""24.102"",""25.053"",""26.006"",""26.972"",""27.939"",""28.933"",""29.917"",""30.878"",""31.861"",""32.822""]","[0.851,1.842,2.764,3.638,4.715,5.595,6.528,7.475,8.359,9.405,10.348,11.333,12.329,13.311,14.286,15.225,16.164,17.171,18.218,19.140,20.202,21.156,22.103,23.143,24.087,25.009,25.960,26.946,27.934,28.894,29.879,30.881,31.816,32.803]"
True,null,null,11,N/A,N/A,control_P9,N/A,N/A,"[""0.863"",""1.813"",""2.753"",""3.694"",""4.625"",""5.580"",""6.515"",""7.463"",""8.430"",""9.415"",""10.397"",""11.358"",""12.321"",""13.279"",""14.244"",""15.271"",""16.218"",""17.196"",""18.170"",""19.150"",""20.131"",""21.118"",""22.128"",""23.100"",""24.068"",""25.039"",""26.030"",""27.036"",""28.023"",""29.003"",""29.949"",""30.933"",""31.923"",""32.901""]","[0.834,1.864,2.753,3.694,4.620,5.616,6.495,7.416,8.406,9.403,10.346,11.318,12.330,13.278,14.180,15.280,16.169,17.177,18.095,19.093,20.075,21.120,22.085,23.038,24.045,25.012,26.014,26.993,28.044,29.009,29.933,30.935,31.908,32.934]"
True,null,null,13,N/A,N/A,control_P9,N/A,N/A,"[""0.864"",""1.811"",""2.741"",""3.696"",""4.638"",""5.575"",""6.527"",""7.468"",""8.412"",""9.357"",""10.304"",""11.262"",""12.223"",""13.192"",""14.249"",""15.296"",""16.292"",""17.294"",""18.247"",""19.224"",""20.184"",""21.188"",""22.150"",""23.129"",""24.111"",""25.077"",""26.071"",""27.046"",""28.011"",""29.022"",""29.994"",""31.008"",""31.991"",""32.944""]","[0.782,1.788,2.715,3.691,4.628,5.541,6.533,7.453,8.400,9.345,10.220,11.256,12.194,13.139,14.226,15.329,16.307,17.285,18.192,19.213,20.189,21.170,22.154,23.114,24.070,25.072,26.089,27.028,27.972,28.987,29.977,30.975,31.965,32.936]"
True,null,null,15,N/A,N/A,control_P9,N/A,N/A,"[""0.878"",""1.834"",""2.788"",""3.725"",""4.671"",""5.603"",""6.561"",""7.513"",""8.446"",""9.391"",""10.377"",""11.362"",""12.334"",""13.335"",""14.295"",""15.266"",""16.253"",""17.228"",""18.203"",""19.167"",""20.167"",""21.139"",""22.122"",""23.099"",""24.075"",""25.054"",""26.058"",""27.055"",""28.050"",""29.026"",""29.993"",""30.990"",""31.982"",""32.960""]","[0.865,1.773,2.727,3.671,4.698,5.576,6.565,7.520,8.435,9.353,10.360,11.285,12.378,13.304,14.312,15.196,16.229,17.206,18.181,19.139,20.122,21.067,22.092,23.031,24.048,25.035,26.009,27.045,28.117,28.961,29.969,30.984,31.974,32.989]"
