success,rt,trial_type,trial_index,plugin_version,time_elapsed,Participant ID,stimulus,response,bounce_time,response_time
True,null,null,5,N/A,N/A,control_P18,N/A,N/A,"[""0.851"",""1.816"",""2.760"",""3.700"",""4.660"",""5.594"",""6.522"",""7.483"",""8.414"",""9.380"",""10.382"",""11.346"",""12.359"",""13.348"",""14.365"",""15.334"",""16.360"",""17.322"",""18.318"",""19.258"",""20.249"",""21.197"",""22.165"",""23.190"",""24.255"",""25.225"",""26.194"",""27.161"",""28.167"",""29.162"",""30.130"",""31.095"",""32.049""]","[0.882,1.793,2.710,3.703,4.596,5.603,6.532,7.483,8.424,9.326,10.340,11.282,12.304,13.332,14.396,15.325,16.414,17.334,18.277,19.234,20.254,21.133,22.166,23.171,24.213,25.149,26.191,27.089,28.107,29.182,30.128,31.107,32.068]"
True,null,null,7,N/A,N/A,control_P18,N/A,N/A,"[""0.875"",""1.825"",""2.757"",""3.715"",""4.654"",""5.604"",""6.538"",""7.479"",""8.410"",""9.353"",""10.330"",""11.306"",""12.273"",""13.311"",""14.277"",""15.258"",""16.240"",""17.253"",""18.239"",""19.231"",""20.202"",""21.233"",""22.220"",""23.163"",""24.151"",""25.132"",""26.122"",""27.104"",""28.075"",""29.037"",""30.004"",""30.997"",""31.995"",""32.967""]","[0.869,1.803,2.755,3.702,4.638,5.562,6.500,7.460,8.394,9.335,10.286,11.296,12.213,13.303,14.273,15.220,16.173,17.236,18.252,19.216,20.162,21.175,22.190,23.165,24.107,25.108,26.051,27.102,28.078,29.036,30.010,31.031,31.984,32.928]"
True,null,null,9,N/A,N/A,control_P18,N/A,N/A,"[""0.857"",""1.816"",""2.764"",""3.719"",""4.660"",""5.591"",""6.532"",""7.459"",""8.402"",""9.365"",""10.373"",""11.343"",""12.346"",""13.323"",""14.319"",""15.282"",""16.243"",""17.211"",""18.181"",""19.177"",""20.210"",""21.203"",""22.159"",""23.148"",""24.102"",""25.053"",""26.006"",""26.972"",""27.939"",""28.933"",""29.917"",""30.878"",""31.861"",""32.822""]","[0.880,1.818,2.709,3.697,4.632,5.587,6.492,7.430,8.387,9.367,10.332,11.343,12.267,13.267,14.298,15.251,16.222,17.168,18.139,19.121,20.165,21.193,22.133,23.103,24.104,25.039,25.963,26.933,27.940,28.949,29.901,30.838,31.878,32.812]"
True,null,null,11,N/A,N/A,control_P18,N/A,N/A,"[""0.863"",""1.813"",""2.753"",""3.694"",""4.625"",""5.580"",""6.515"",""7.463"",""8.430"",""9.415"",""10.397"",""11.358"",""12.321"",""13.279"",""14.244"",""15.271"",""16.218"",""17.196"",""18.170"",""19.150"",""20.131"",""21.118"",""22.128"",""23.100"",""24.068"",""25.039"",""26.030"",""27.036"",""28.023"",""29.003"",""29.949"",""30.933"",""31.923"",""32.901""]","[0.895,1.895,2.760,3.657,4.586,5.552,6.541,7.473,8.416,9.348,10.393,11.351,12.321,13.254,14.202,15.263,16.192,17.136,18.137,19.191,20.120,21.039,22.108,23.095,24.061,25.029,26.056,27.048,27.971,28.995,29.862,30.929,31.916,32.864]"
True,null,null,13,N/A,N/A,control_P18,N/A,N/A,"[""0.864"",""1.811"",""2.741"",""3.696"",""4.638"",""5.575"",""6.527"",""7.468"",""8.412"",""9.357"",""10.304"",""11.262"",""12.223"",""13.192"",""14.249"",""15.296"",""16.292"",""17.294"",""18.247"",""19.224"",""20.184"",""21.188"",""22.150"",""23.129"",""24.111"",""25.077"",""26.071"",""27.046"",""28.011"",""29.022"",""29.994"",""31.008"",""31.991"",""32.944""]","[0.847,1.846,2.652,3.671,4.629,5.527,6.529,7.446,8.414,9.350,10.278,11.260,12.269,13.243,14.253,15.278,16.232,17.315,18.250,19.194,20.190,21.176,22.095,23.094,24.143,25.066,26.060,27.025,27.949,28.986,29.982,31.027,31.949,32.906]"
True,null,null,15,N/A,N/A,control_P18,N/A,N/A,"[""0.878"",""1.834"",""2.788"",""3.725"",""4.671"",""5.603"",""6.561"",""7.513"",""8.446"",""9.391"",""10.377"",""11.362"",""12.334"",""13.335"",""14.295"",""15.266"",""16.253"",""17.228"",""18.203"",""19.167"",""20.167"",""21.139"",""22.122"",""23.099"",""24.075"",""25.054"",""26.058"",""27.055"",""28.050"",""29.026"",""29.993"",""30.990"",""31.982"",""32.960""]","[0.860,1.773,2.753,3.738,4.605,5.540,6.538,7.493,8.450,9.362,10.341,11.331,12.357,13.326,14.271,15.219,16.233,17.212,18.209,19.215,20.056,21.101,22.096,23.147,24.052,25.039,26.071,27.040,28.034,29.012,29.975,30.939,31.945,32.968]"
