success,rt,trial_type,trial_index,plugin_version,time_elapsed,Participant ID,stimulus,response,bounce_time,response_time
True,null,null,5,N/A,N/A,athelete_P11,N/A,N/A,"[""0.851"",""1.816"",""2.760"",""3.700"",""4.660"",""5.594"",""6.522"",""7.483"",""8.414"",""9.380"",""10.382"",""11.346"",""12.359"",""13.348"",""14.365"",""15.334"",""16.360"",""17.322"",""18.318"",""19.258"",""20.249"",""21.197"",""22.165"",""23.190"",""24.255"",""25.225"",""26.194"",""27.161"",""28.167"",""29.162"",""30.130"",""31.095"",""32.049""]","[0.812,1.739,2.729,3.669,4.652,5.622,6.484,7.469,8.351,9.333,10.364,11.340,12.356,13.305,14.336,15.324,16.339,17.288,18.298,19.204,20.202,21.151,22.123,23.153,24.184,25.183,26.170,27.101,28.148,29.099,30.081,31.076,32.042]"
True,null,null,7,N/A,N/A,athelete_P11,N/A,N/A,"[""0.875"",""1.825"",""2.757"",""3.715"",""4.654"",""5.604"",""6.538"",""7.479"",""8.410"",""9.353"",""10.330"",""11.306"",""12.273"",""13.311"",""14.277"",""15.258"",""16.240"",""17.253"",""18.239"",""19.231"",""20.202"",""21.233"",""22.220"",""23.163"",""24.151"",""25.132"",""26.122"",""27.104"",""28.075"",""29.037"",""30.004"",""30.997"",""31.995"",""32.967""]","[0.882,1.805,2.705,3.699,4.609,5.601,6.564,7.467,8.418,9.309,10.317,11.252,12.253,13.301,14.236,15.225,16.272,17.250,18.279,19.221,20.195,21.241,22.234,23.139,24.133,25.131,26.083,27.068,27.995,29.055,29.977,30.969,31.947,32.965]"
True,null,null,9,N/A,N/A,athelete_P11,N/A,N/A,"[""0.857"",""1.816"",""2.764"",""3.719"",""4.660"",""5.591"",""6.532"",""7.459"",""8.402"",""9.365"",""10.373"",""11.343"",""12.346"",""13.323"",""14.319"",""15.282"",""16.243"",""17.211"",""18.181"",""19.177"",""20.210"",""21.203"",""22.159"",""23.148"",""24.102"",""25.053"",""26.006"",""26.972"",""27.939"",""28.933"",""29.917"",""30.878"",""31.861"",""32.822""]","[0.852,1.794,2.722,3.705,4.620,5.589,6.510,7.468,8.362,9.325,10.381,11.341,12.334,13.245,14.244,15.290,16.212,17.179,18.163,19.170,20.182,21.132,22.181,23.132,24.130,24.965,25.980,26.950,27.914,28.948,29.869,30.878,31.852,32.807]"
True,null,null,11,N/A,N/A,athelete_P11,N/A,N/A,"[""0.863"",""1.813"",""2.753"",""3.694"",""4.625"",""5.580"",""6.515"",""7.463"",""8.430"",""9.415"",""10.397"",""11.358"",""12.321"",""13.279"",""14.244"",""15.271"",""16.218"",""17.196"",""18.170"",""19.150"",""20.131"",""21.118"",""22.128"",""23.100"",""24.068"",""25.039"",""26.030"",""27.036"",""28.023"",""29.003"",""29.949"",""30.933"",""31.923"",""32.901""]","[0.841,1.783,2.707,3.668,4.548,5.581,6.536,7.444,8.470,9.429,10.409,11.410,12.307,13.253,14.218,15.262,16.166,17.212,18.147,19.156,20.099,21.138,22.136,23.105,24.063,25.008,26.026,26.973,28.014,28.940,29.941,30.977,31.955,32.908]"
True,null,null,13,N/A,N/A,athelete_P11,N/A,N/A,"[""0.864"",""1.811"",""2.741"",""3.696"",""4.638"",""5.575"",""6.527"",""7.468"",""8.412"",""9.357"",""10.304"",""11.262"",""12.223"",""13.192"",""14.249"",""15.296"",""16.292"",""17.294"",""18.247"",""19.224"",""20.184"",""21.188"",""22.150"",""23.129"",""24.111"",""25.077"",""26.071"",""27.046"",""28.011"",""29.022"",""29.994"",""31.008"",""31.991"",""32.944""]","[0.875,1.740,2.727,3.688,4.525,5.511,6.509,7.468,8.390,9.367,10.257,11.209,12.218,13.236,14.254,15.303,16.300,17.243,18.232,19.160,20.213,21.137,22.137,23.142,24.034,25.061,25.989,27.018,28.013,29.029,30.000,30.967,32.031,32.947]"
True,null,null,15,N/A,N/A,athelete_P11,N/A,N/A,"[""0.878"",""1.834"",""2.788"",""3.725"",""4.671"",""5.603"",""6.561"",""7.513"",""8.446"",""9.391"",""10.377"",""11.362"",""12.334"",""13.335"",""14.295"",""15.266"",""16.253"",""17.228"",""18.203"",""19.167"",""20.167"",""21.139"",""22.122"",""23.099"",""24.075"",""25.054"",""26.058"",""27.055"",""28.050"",""29.026"",""29.993"",""30.990"",""31.982"",""32.960""]","[0.874,1.838,2.764,3.676,4.689,5.572,6.563,7.462,8.459,9.400,10.359,11.372,12.291,13.336,14.303,15.238,16.273,17.201,18.186,19.117,20.130,21.095,22.083,23.081,24.080,25.037,26.049,26.986,28.031,29.012,29.986,30.987,31.947,32.921]"
