success,rt,trial_type,trial_index,plugin_version,time_elapsed,Participant ID,stimulus,response,bounce_time,response_time
True,null,null,5,N/A,N/A,control_P7,N/A,N/A,"[""0.851"",""1.816"",""2.760"",""3.700"",""4.660"",""5.594"",""6.522"",""7.483"",""8.414"",""9.380"",""10.382"",""11.346"",""12.359"",""13.348"",""14.365"",""15.334"",""16.360"",""17.322"",""18.318"",""19.258"",""20.249"",""21.197"",""22.165"",""23.190"",""24.255"",""25.225"",""26.194"",""27.161"",""28.167"",""29.162"",""30.130"",""31.095"",""32.049""]","[0.853,1.807,2.719,3.652,4.694,5.572,6.467,7.404,8.403,9.352,10.351,11.322,12.316,13.306,14.351,15.306,16.340,17.334,18.261,19.188,20.239,21.153,22.146,23.127,24.207,25.231,26.178,27.154,28.145,29.145,30.122,31.027,32.022]"
True,null,null,7,N/A,N/A,control_P7,N/A,N/A,"[""0.875"",""1.825"",""2.757"",""3.715"",""4.654"",""5.604"",""6.538"",""7.479"",""8.410"",""9.353"",""10.330"",""11.306"",""12.273"",""13.311"",""14.277"",""15.258"",""16.240"",""17.253"",""18.239"",""19.231"",""20.202"",""21.233"",""22.220"",""23.163"",""24.151"",""25.132"",""26.122"",""27.104"",""28.075"",""29.037"",""30.004"",""30.997"",""31.995"",""32.967""]","[0.830,1.759,2.739,3.691,4.658,5.510,6.527,7.455,8.383,9.291,10.333,11.283,12.230,13.281,14.268,15.264,16.254,17.266,18.215,19.260,20.200,21.231,22.224,23.127,24.119,25.047,26.068,27.035,28.083,28.991,29.990,30.967,31.952,32.965]"
True,null,null,9,N/A,N/A,control_P7,N/A,N/A,"[""0.857"",""1.816"",""2.764"",""3.719"",""4.660"",""5.591"",""6.532"",""7.459"",""8.402"",""9.365"",""10.373"",""11.343"",""12.346"",""13.323"",""14.319"",""15.282"",""16.243"",""17.211"",""18.181"",""19.177"",""20.210"",""21.203"",""22.159"",""23.148"",""24.102"",""25.053"",""26.006"",""26.972"",""27.939"",""28.933"",""29.917"",""30.878"",""31.861"",""32.822""]","[0.818,1.770,2.734,3.707,4.650,5.629,6.518,7.433,8.467,9.297,10.357,11.298,12.342,13.331,14.337,15.274,16.165,17.177,18.188,19.131,20.148,21.244,22.095,23.146,24.042,25.058,25.930,26.919,27.882,28.881,29.865,30.890,31.816,32.776]"
True,null,null,11,N/A,N/A,control_P7,N/A,N/A,"[""0.863"",""1.813"",""2.753"",""3.694"",""4.625"",""5.580"",""6.515"",""7.463"",""8.430"",""9.415"",""10.397"",""11.358"",""12.321"",""13.279"",""14.244"",""15.271"",""16.218"",""17.196"",""18.170"",""19.150"",""20.131"",""21.118"",""22.128"",""23.100"",""24.068"",""25.039"",""26.030"",""27.036"",""28.023"",""29.003"",""29.949"",""30.933"",""31.923"",""32.901""]","[0.909,1.751,2.763,3.689,4.614,5.586,6.495,7.490,8.410,9.396,10.311,11.357,12.350,13.207,14.212,15.247,16.183,17.178,18.141,19.140,20.102,21.081,22.099,23.057,23.992,25.038,25.971,27.026,27.992,29.032,29.889,30.945,31.887,32.865]"
True,null,null,13,N/A,N/A,control_P7,N/A,N/A,"[""0.864"",""1.811"",""2.741"",""3.696"",""4.638"",""5.575"",""6.527"",""7.468"",""8.412"",""9.357"",""10.304"",""11.262"",""12.223"",""13.192"",""14.249"",""15.296"",""16.292"",""17.294"",""18.247"",""19.224"",""20.184"",""21.188"",""22.150"",""23.129"",""24.111"",""25.077"",""26.071"",""27.046"",""28.011"",""29.022"",""29.994"",""31.008"",""31.991"",""32.944""]","[0.829,1.803,2.736,3.634,4.620,5.543,6.500,7.411,8.395,9.336,10.232,11.177,12.212,13.194,14.217,15.293,16.240,17.279,18.213,19.193,20.124,21.144,22.113,23.143,24.052,25.065,26.073,27.045,27.979,29.022,29.986,31.020,32.026,32.918]"
True,null,null,15,N/A,N/A,control_P7,N/A,N/A,"[""0.878"",""1.834"",""2.788"",""3.725"",""4.671"",""5.603"",""6.561"",""7.513"",""8.446"",""9.391"",""10.377"",""11.362"",""12.334"",""13.335"",""14.295"",""15.266"",""16.253"",""17.228"",""18.203"",""19.167"",""20.167"",""21.139"",""22.122"",""23.099"",""24.075"",""25.054"",""26.058"",""27.055"",""28.050"",""29.026"",""29.993"",""30.990"",""31.982"",""32.960""]","[0.835,1.780,2.756,3.725,4.671,5.570,6.537,7.526,8.381,9.392,10.366,11.361,12.323,13.317,14.292,15.216,16.231,17.303,18.186,19.160,20.175,21.103,22.079,22.999,24.044,25.003,25.990,27.083,28.044,29.037,29.961,30.959,31.965,32.945]"
